diam	pitch	short_name	stats_detail_file	full_name	side_pic	front_pic
5.0	3.75	da4002	da4002_5x3.75_static_1121md.txt	da4002_5x3.75	da4002_5x3.75-side.png	da4002_5x3.75-front.png
5.0	4.92	da4002	da4002_5x4.92_static_1190ga.txt	da4002_5x4.92		
9.0	2.85	da4002	da4002_9x2.85_static_1115ga.txt	da4002_9x2.85		
9.0	4.76	da4002	da4002_9x4.76_static_1120ga.txt	da4002_9x4.76		
9.0	6.75	da4002	da4002_9x6.75_static_1107rd.txt	da4002_9x6.75	da4002_9x6.75-side.png	da4002_9x6.75-front.png
9.0	8.95	da4002	da4002_9x8.95_static_1092rd.txt	da4002_9x8.95		
5.0	3.75	da4022	da4022_5x3.75_static_0642rb.txt	da4022_5x3.75	da4022_5x3.75-side.png	da4022_5x3.75-front.png
9.0	6.75	da4022	da4022_9x6.75_static_0767rd.txt	da4022_9x6.75	da4022_9x6.75-side.png	da4022_9x6.75-front.png
5.0	1.58	da4052	da4052_5x1.58_static_1160rd.txt	da4052_5x1.58		
5.0	2.65	da4052	da4052_5x2.65_static_1142ga.txt	da4052_5x2.65		
5.0	3.75	da4052	da4052_5x3.75_3b_static_1204ga.txt	da4052_5x3.75_3b		
5.0	3.75	da4052	da4052_5x3.75_4b_static_1214rd.txt	da4052_5x3.75_4b		
5.0	3.75	da4052	da4052_5x3.75_static_1131ga.txt	da4052_5x3.75	da4052_5x3.75-side.png	da4052_5x3.75-front.png
5.0	4.92	da4052	da4052_5x4.92_static_1175md.txt	da4052_5x4.92		
9.0	2.85	da4052	da4052_9x2.85_static_1055rd.txt	da4052_9x2.85		
9.0	4.76	da4052	da4052_9x4.76_static_1060rd.txt	da4052_9x4.76		
9.0	6.75	da4052	da4052_9x6.75_3b_static_1080ga.txt	da4052_9x6.75_3b		
9.0	6.75	da4052	da4052_9x6.75_static_1041rd.txt	da4052_9x6.75	da4052_9x6.75-side.png	da4052_9x6.75-front.png
9.0	8.95	da4052	da4052_9x8.95_static_1066ga.txt	da4052_9x8.95		
10.0	6.0	grcp	grcp_10x6_static_rd0851.txt	grcp_10x6	grcp_10x6-side.png	grcp_10x6-front.png
10.0	8.0	grcp	grcp_10x8_static_rd0843.txt	grcp_10x8	grcp_10x8-side.png	grcp_10x8-front.png
11.0	4.0	grcp	grcp_11x4_static_rd0550.txt	grcp_11x4	grcp_11x4-side.png	grcp_11x4-front.png
11.0	6.0	grcp	grcp_11x6_static_rd0556.txt	grcp_11x6	grcp_11x6-side.png	grcp_11x6-front.png
11.0	8.0	grcp	grcp_11x8_static_kt0641.txt	grcp_11x8	grcp_11x8-side.png	grcp_11x8-front.png
9.0	4.0	grcp	grcp_9x4_static_rd0923.txt	grcp_9x4	grcp_9x4-side.png	grcp_9x4-front.png
9.0	6.0	grcp	grcp_9x6_static_pg0915.txt	grcp_9x6	grcp_9x6-side.png	grcp_9x6-front.png
10.0	6.0	grcsp	grcsp_10x6_static_jb0867.txt	grcsp_10x6	grcsp_10x6-side.png	grcsp_10x6-front.png
10.0	8.0	grcsp	grcsp_10x8_static_jb0859.txt	grcsp_10x8	grcsp_10x8-side.png	grcsp_10x8-front.png
9.0	5.0	grcsp	grcsp_9x5_static_kt0958.txt	grcsp_9x5	grcsp_9x5-side.png	grcsp_9x5-front.png
9.0	6.0	grcsp	grcsp_9x6_static_pg0945.txt	grcsp_9x6	grcsp_9x6-side.png	grcsp_9x6-front.png
10.0	6.0	grsn	grsn_10x6_static_rd0779.txt	grsn_10x6	grsn_10x6-side.png	grsn_10x6-front.png
10.0	7.0	grsn	grsn_10x7_static_rd0787.txt	grsn_10x7	grsn_10x7-side.png	grsn_10x7-front.png
11.0	10.0	grsn	grsn_11x10_static_2996os.txt	grsn_11x10		
11.0	6.0	grsn	grsn_11x6_static_rd0665.txt	grsn_11x6	grsn_11x6-side.png	grsn_11x6-front.png
11.0	7.0	grsn	grsn_11x7_static_2988os.txt	grsn_11x7		
11.0	8.0	grsn	grsn_11x8_static_rd0657.txt	grsn_11x8	grsn_11x8-side.png	grsn_11x8-front.png
9.0	4.0	grsn	grsn_9x4_static_2575rd.txt	grsn_9x4		
9.0	5.0	grsn	grsn_9x5_static_rd0929.txt	grsn_9x5	grsn_9x5-side.png	grsn_9x5-front.png
9.0	6.0	grsn	grsn_9x6_static_2577rd.txt	grsn_9x6		
9.0	7.0	grsn	grsn_9x7_static_rd0936.txt	grsn_9x7	grsn_9x7-side.png	grsn_9x7-front.png
10.0	6.0	gwsdd	gwsdd_10x6_static_jb0712.txt	gwsdd_10x6	gwsdd_10x6-side.png	gwsdd_10x6-front.png
11.0	7.0	gwsdd	gwsdd_11x7_static_jb0570.txt	gwsdd_11x7	gwsdd_11x7-side.png	gwsdd_11x7-front.png
2.5	0.8	gwsdd	gwsdd_2.5x0.8_static_0472rd.txt	gwsdd_2.5x0.8	gwsdd_2.5x0.8-side.png	gwsdd_2.5x0.8-front.png
